@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}

@data
34,'2020/12/18 11:45:59:998',2,0.761128,0.185391,9.775311,0,1,3.613938,260.01712,367.606049,0.109621,0.018132,-0.461027,12.488071,1.035028,2.539876,2.599667,7.016105,7.103731,23.269188,6.269216,1,?,?
35,'2020/12/18 11:46:00:223',2,0.684851,0.113141,9.782053,0,1,3.604821,260.275116,366.29776,0.093769,0.027916,-0.459985,12.45412,1.058514,2.509425,2.549632,6.956638,7.015121,23.277214,6.307829,1,?,?
36,'2020/12/18 11:46:00:438',2,0.570339,0.056082,9.78989,0,1,3.598491,258.650085,365.275574,0.078345,0.040152,-0.472218,12.589984,1.027507,2.533007,2.575716,6.941598,7.009417,23.351652,6.285072,1,?,?
37,'2020/12/18 11:46:00:596',2,0.570339,0.056082,9.78989,0,1,3.594862,257.60141,365.318573,0.074237,0.046548,-0.478608,12.425857,1.0755,2.531276,2.57279,6.911986,6.981709,23.416693,6.337951,1,?,?
38,'2020/12/18 11:46:00:730',2,0.547525,0.004018,9.791352,0,1,3.590304,256.723694,365.476624,0.066173,0.056322,-0.489105,12.543815,1.039066,2.583067,2.609763,6.875295,6.946581,23.381208,6.385335,1,?,?
39,'2020/12/18 11:46:00:908',2,0.54899,0.009777,9.791266,0,1,3.586096,256.074066,365.232178,0.065648,0.05922,-0.49415,12.61692,1.019414,2.631203,2.654887,6.868667,6.938468,23.543896,6.286029,1,?,?
40,'2020/12/18 11:46:01:057',2,0.54899,0.009777,9.791266,0,1,3.586752,255.593674,365.013916,0.062469,0.061877,-0.498796,12.534786,0.966576,2.525043,2.555457,6.835098,6.900969,23.422716,6.41243,1,?,?
41,'2020/12/18 11:46:01:218',2,0.562916,-0.028634,9.790439,0,1,3.577396,255.12825,364.986603,0.063063,0.069539,-0.505541,12.54567,0.985656,2.571252,2.582316,6.863241,6.915442,23.495346,6.420601,1,?,?
42,'2020/12/18 11:46:01:378',2,0.562916,-0.028634,9.790439,0,1,3.586276,255.002502,364.567474,0.056496,0.068433,-0.504935,12.535825,1.013965,2.536148,2.55246,6.867527,6.930202,23.451313,6.350356,1,?,?
43,'2020/12/18 11:46:01:642',2,0.430922,0.074142,9.796897,0,1,3.579635,255.209717,364.230469,0.053625,0.071037,-0.503814,12.600504,0.972829,2.724181,2.735834,6.812235,6.878009,23.418993,6.381561,1,?,?
